datetime,date,time,open,high,low,close
2025-05-27 09:15:00,20250527.0,09:15,24956.65,24976.1,24864.65,24874.3
2025-05-27 09:20:00,20250527.0,09:20,24876.2,24876.35,24769.3,24790.65
2025-05-27 09:25:00,20250527.0,09:25,24790.05,24813.5,24784.15,24790.45
2025-05-27 09:30:00,20250527.0,09:30,24791.9,24838.3,24765.75,24810.55
2025-05-27 09:35:00,20250527.0,09:35,24810.55,24841.65,24795.0,24830.65
2025-05-27 09:40:00,20250527.0,09:40,24830.35,24836.95,24804.1,24825.7
2025-05-27 09:45:00,20250527.0,09:45,24826.05,24827.35,24781.75,24782.3
2025-05-27 09:50:00,20250527.0,09:50,24783.1,24800.1,24772.1,24786.2
2025-05-27 09:55:00,20250527.0,09:55,24785.55,24803.85,24750.7,24760.4
2025-05-27 10:00:00,20250527.0,10:00,24760.7,24767.75,24737.7,24763.2
2025-05-27 10:05:00,20250527.0,10:05,24762.55,24784.05,24754.0,24780.9
2025-05-27 10:10:00,20250527.0,10:10,24781.1,24791.45,24759.55,24777.1
2025-05-27 10:15:00,20250527.0,10:15,24776.9,24779.75,24753.45,24764.45
2025-05-27 10:20:00,20250527.0,10:20,24764.3,24771.15,24753.05,24760.65
2025-05-27 10:25:00,20250527.0,10:25,24760.3,24776.35,24752.45,24755.7
2025-05-27 10:30:00,20250527.0,10:30,24756.3,24779.25,24751.35,24775.4
2025-05-27 10:35:00,20250527.0,10:35,24776.45,24798.85,24767.35,24775.7
2025-05-27 10:40:00,20250527.0,10:40,24775.8,24781.3,24758.7,24761.3
2025-05-27 10:45:00,20250527.0,10:45,24762.55,24768.2,24754.25,24761.25
2025-05-27 10:50:00,20250527.0,10:50,24761.4,24783.15,24758.55,24778.8
2025-05-27 10:55:00,20250527.0,10:55,24778.65,24803.25,24770.85,24779.7
2025-05-27 11:00:00,20250527.0,11:00,24779.7,24873.0,24772.6,24872.8
2025-05-27 11:05:00,20250527.0,11:05,24876.35,24960.2,24825.1,24868.15
2025-05-27 11:10:00,20250527.0,11:10,24870.2,24888.05,24842.65,24877.65
2025-05-27 11:15:00,20250527.0,11:15,24880.65,24930.75,24880.65,24913.85
2025-05-27 11:20:00,20250527.0,11:20,24913.45,24946.25,24888.6,24946.25
2025-05-27 11:25:00,20250527.0,11:25,24942.45,25013.65,24942.0,25013.65
2025-05-27 11:30:00,20250527.0,11:30,25013.3,25062.9,25001.2,25021.55
2025-05-27 11:35:00,20250527.0,11:35,25022.45,25028.0,24925.4,24976.6
2025-05-27 11:40:00,20250527.0,11:40,24974.5,24978.55,24940.4,24968.95
2025-05-27 11:45:00,20250527.0,11:45,24968.15,24976.2,24913.1,24930.3
2025-05-27 11:50:00,20250527.0,11:50,24931.1,24946.55,24908.0,24946.55
2025-05-27 11:55:00,20250527.0,11:55,24947.85,24977.05,24935.9,24948.05
2025-05-27 12:00:00,20250527.0,12:00,24948.15,24971.1,24926.6,24953.95
2025-05-27 12:05:00,20250527.0,12:05,24954.85,24965.05,24936.7,24950.05
2025-05-27 12:10:00,20250527.0,12:10,24950.05,24967.45,24942.1,24957.45
2025-05-27 12:15:00,20250527.0,12:15,24957.4,24962.75,24923.4,24934.65
2025-05-27 12:20:00,20250527.0,12:20,24935.45,24940.1,24881.8,24894.95
2025-05-27 12:25:00,20250527.0,12:25,24895.9,24908.55,24835.15,24856.3
2025-05-27 12:30:00,20250527.0,12:30,24854.05,24888.7,24819.95,24885.3
2025-05-27 12:35:00,20250527.0,12:35,24884.6,24885.7,24850.4,24854.05
2025-05-27 12:40:00,20250527.0,12:40,24854.55,24866.45,24835.7,24860.4
2025-05-27 12:45:00,20250527.0,12:45,24857.35,24881.3,24844.5,24848.85
2025-05-27 12:50:00,20250527.0,12:50,24850.15,24857.7,24824.6,24849.35
2025-05-27 12:55:00,20250527.0,12:55,24849.35,24851.2,24820.55,24824.25
2025-05-27 13:00:00,20250527.0,13:00,24824.15,24833.6,24802.7,24814.85
2025-05-27 13:05:00,20250527.0,13:05,24814.8,24823.85,24800.8,24823.65
2025-05-27 13:10:00,20250527.0,13:10,24822.0,24837.1,24817.85,24829.85
2025-05-27 13:15:00,20250527.0,13:15,24830.0,24848.25,24808.4,24816.5
2025-05-27 13:20:00,20250527.0,13:20,24816.75,24831.65,24804.95,24813.1
2025-05-27 13:25:00,20250527.0,13:25,24812.1,24829.8,24804.2,24824.85
2025-05-27 13:30:00,20250527.0,13:30,24824.75,24837.55,24820.25,24825.8
2025-05-27 13:35:00,20250527.0,13:35,24825.55,24831.65,24813.95,24826.3
2025-05-27 13:40:00,20250527.0,13:40,24827.05,24849.3,24821.55,24847.4
2025-05-27 13:45:00,20250527.0,13:45,24847.5,24871.85,24834.95,24838.9
2025-05-27 13:50:00,20250527.0,13:50,24839.25,24845.15,24806.8,24810.7
2025-05-27 13:55:00,20250527.0,13:55,24811.15,24815.75,24761.7,24764.35
2025-05-27 14:00:00,20250527.0,14:00,24761.6,24783.95,24744.55,24769.05
2025-05-27 14:05:00,20250527.0,14:05,24769.2,24787.45,24756.95,24761.55
2025-05-27 14:10:00,20250527.0,14:10,24761.95,24771.4,24760.55,24767.6
2025-05-27 14:15:00,20250527.0,14:15,24768.25,24779.95,24716.0,24722.45
2025-05-27 14:20:00,20250527.0,14:20,24721.6,24737.55,24704.1,24737.55
2025-05-27 14:25:00,20250527.0,14:25,24737.65,24739.5,24725.1,24731.35
2025-05-27 14:30:00,20250527.0,14:30,24731.4,24757.5,24727.45,24757.4
2025-05-27 14:35:00,20250527.0,14:35,24758.35,24771.2,24745.2,24765.15
2025-05-27 14:40:00,20250527.0,14:40,24765.75,24784.95,24765.45,24780.65
2025-05-27 14:45:00,20250527.0,14:45,24781.25,24797.2,24767.1,24790.3
2025-05-27 14:50:00,20250527.0,14:50,24789.9,24798.25,24780.4,24786.15
2025-05-27 14:55:00,20250527.0,14:55,24784.85,24817.7,24778.95,24817.7
2025-05-27 15:00:00,20250527.0,15:00,24818.05,24828.6,24816.65,24818.0
2025-05-27 15:05:00,20250527.0,15:05,24818.0,24842.7,24817.65,24841.5
2025-05-27 15:10:00,20250527.0,15:10,24838.95,24838.95,24826.95,24831.8
2025-05-27 15:15:00,20250527.0,15:15,24832.6,24834.8,24820.6,24825.5
2025-05-27 15:20:00,20250527.0,15:20,24825.5,24830.15,24819.9,24822.25
2025-05-27 15:25:00,20250527.0,15:25,24822.5,24843.3,24816.55,24837.7
2025-05-28 09:15:00,20250528.0,09:15,24832.5,24857.85,24765.0,24815.75
2025-05-28 09:20:00,20250528.0,09:20,24817.75,24864.25,24795.65,24804.15
2025-05-28 09:25:00,20250528.0,09:25,24804.45,24813.2,24765.2,24769.15
2025-05-28 09:30:00,20250528.0,09:30,24768.9,24780.9,24756.4,24766.2
2025-05-28 09:35:00,20250528.0,09:35,24766.5,24801.55,24743.05,24769.7
2025-05-28 09:40:00,20250528.0,09:40,24771.0,24807.25,24769.7,24807.25
2025-05-28 09:45:00,20250528.0,09:45,24806.3,24814.8,24771.95,24782.8
2025-05-28 09:50:00,20250528.0,09:50,24783.3,24785.55,24752.95,24776.2
2025-05-28 09:55:00,20250528.0,09:55,24775.25,24789.5,24762.65,24782.15
2025-05-28 10:00:00,20250528.0,10:00,24783.4,24784.65,24758.65,24763.9
2025-05-28 10:05:00,20250528.0,10:05,24763.75,24769.5,24755.8,24767.85
2025-05-28 10:10:00,20250528.0,10:10,24767.3,24775.55,24756.65,24760.5
2025-05-28 10:15:00,20250528.0,10:15,24760.0,24760.0,24737.05,24753.85
2025-05-28 10:20:00,20250528.0,10:20,24753.25,24772.5,24748.6,24767.85
2025-05-28 10:25:00,20250528.0,10:25,24767.3,24769.6,24750.4,24750.5
2025-05-28 10:30:00,20250528.0,10:30,24750.25,24767.5,24747.6,24766.65
2025-05-28 10:35:00,20250528.0,10:35,24766.85,24766.85,24743.85,24749.7
2025-05-28 10:40:00,20250528.0,10:40,24749.7,24766.25,24748.65,24752.7
2025-05-28 10:45:00,20250528.0,10:45,24752.1,24799.05,24751.65,24782.45
2025-05-28 10:50:00,20250528.0,10:50,24782.5,24797.9,24776.9,24793.95
2025-05-28 10:55:00,20250528.0,10:55,24794.5,24794.5,24775.9,24781.65
2025-05-28 11:00:00,20250528.0,11:00,24781.5,24801.9,24781.05,24798.45
2025-05-28 11:05:00,20250528.0,11:05,24798.8,24798.8,24782.25,24785.25
2025-05-28 11:10:00,20250528.0,11:10,24784.75,24785.2,24758.45,24768.05
2025-05-28 11:15:00,20250528.0,11:15,24767.75,24783.85,24767.75,24773.05
2025-05-28 11:20:00,20250528.0,11:20,24772.95,24783.1,24757.6,24760.7
2025-05-28 11:25:00,20250528.0,11:25,24760.05,24765.7,24753.75,24758.7
2025-05-28 11:30:00,20250528.0,11:30,24759.6,24763.55,24746.35,24755.05
2025-05-28 11:35:00,20250528.0,11:35,24755.4,24761.7,24750.2,24751.25
2025-05-28 11:40:00,20250528.0,11:40,24750.85,24760.65,24750.1,24756.35
2025-05-28 11:45:00,20250528.0,11:45,24756.35,24765.35,24752.25,24763.05
2025-05-28 11:50:00,20250528.0,11:50,24763.15,24780.7,24763.15,24776.5
2025-05-28 11:55:00,20250528.0,11:55,24776.6,24777.2,24764.9,24770.9
