date,time,open,high,low,close,volume,oi,option_nm
20250401,09:15,23341.1,23420.7,23339.1,23417.3,0,0,NIFTY 50
20250401,09:16,23417.3,23425.9,23401.4,23420.45,0,0,NIFTY 50
20250401,09:17,23420.75,23450.95,23420.75,23438.5,0,0,NIFTY 50
20250401,09:18,23437.95,23449.3,23437.55,23442.15,0,0,NIFTY 50
20250401,09:19,23439.05,23440.05,23414.75,23420.55,0,0,NIFTY 50
20250401,09:20,23417.1,23431.35,23410.25,23431.35,0,0,NIFTY 50
20250401,09:21,23430.85,23465.9,23430.85,23465.9,0,0,NIFTY 50
20250401,09:22,23466.05,23467.1,23445.8,23449.95,0,0,NIFTY 50
20250401,09:23,23448,23460.25,23440.25,23444.1,0,0,NIFTY 50
20250401,09:24,23441.75,23445.6,23434.7,23436.5,0,0,NIFTY 50
20250401,09:25,23434.45,23440.85,23426.5,23431.95,0,0,NIFTY 50
20250401,09:26,23431,23444.9,23427.85,23443.15,0,0,NIFTY 50
20250401,09:27,23441.5,23455.7,23438.8,23449.1,0,0,NIFTY 50
20250401,09:28,23452.05,23473.4,23447.45,23473.4,0,0,NIFTY 50
20250401,09:29,23471.35,23481.45,23470.4,23471.45,0,0,NIFTY 50
20250401,09:30,23471.45,23490.15,23467.2,23476.95,0,0,NIFTY 50
20250401,09:31,23478.5,23486.35,23477.05,23479.5,0,0,NIFTY 50
20250401,09:32,23479.2,23483.85,23470.45,23477.65,0,0,NIFTY 50
20250401,09:33,23477.15,23509.25,23476.6,23504.45,0,0,NIFTY 50
20250401,09:34,23509.3,23518.45,23509.2,23514.4,0,0,NIFTY 50
20250401,09:35,23516.6,23521.05,23502.7,23509.25,0,0,NIFTY 50
20250401,09:36,23509.5,23516,23503.6,23510.05,0,0,NIFTY 50
20250401,09:37,23511.35,23522.05,23506.3,23508.25,0,0,NIFTY 50
20250401,09:38,23507.45,23514.3,23505.25,23508.65,0,0,NIFTY 50
20250401,09:39,23508.9,23535.55,23505.1,23535.55,0,0,NIFTY 50
20250401,09:40,23533.15,23550.5,23533.15,23541.85,0,0,NIFTY 50
20250401,09:41,23544.8,23561.6,23541.2,23559.5,0,0,NIFTY 50
20250401,09:42,23558.95,23565.15,23538.75,23541.45,0,0,NIFTY 50
20250401,09:43,23542.5,23550.55,23533.5,23541.75,0,0,NIFTY 50
20250401,09:44,23541.9,23546.15,23535.65,23545.1,0,0,NIFTY 50
20250401,09:45,23544.45,23550.2,23530.85,23530.85,0,0,NIFTY 50
20250401,09:46,23529.95,23533.7,23521,23527.5,0,0,NIFTY 50
20250401,09:47,23527.3,23553.3,23526.05,23547.7,0,0,NIFTY 50
20250401,09:48,23546.8,23548.1,23531.95,23531.95,0,0,NIFTY 50
20250401,09:49,23533.3,23545.1,23527.9,23543.4,0,0,NIFTY 50
20250401,09:50,23542.75,23544.25,23534.5,23535.95,0,0,NIFTY 50
20250401,09:51,23535.85,23536.65,23507.4,23509.2,0,0,NIFTY 50
20250401,09:52,23508.25,23521.1,23500.25,23508.55,0,0,NIFTY 50
20250401,09:53,23507.75,23533.7,23506.5,23533.7,0,0,NIFTY 50
20250401,09:54,23534.9,23536,23524.35,23526.05,0,0,NIFTY 50
20250401,09:55,23525,23526.5,23500.8,23504.4,0,0,NIFTY 50
20250401,09:56,23504.75,23520.55,23504.75,23518.45,0,0,NIFTY 50
20250401,09:57,23517.75,23517.75,23502.05,23503.8,0,0,NIFTY 50
20250401,09:58,23503.9,23503.9,23492.75,23495,0,0,NIFTY 50
20250401,09:59,23494.2,23514.85,23493.95,23514.85,0,0,NIFTY 50
20250401,10:00,23513.9,23523.4,23500.35,23500.35,0,0,NIFTY 50
20250401,10:01,23500.5,23502.1,23490,23490.2,0,0,NIFTY 50
20250401,10:02,23488.4,23492.2,23469.85,23469.85,0,0,NIFTY 50
20250401,10:03,23468.1,23478.95,23466.1,23478.15,0,0,NIFTY 50
20250401,10:04,23478.1,23485.65,23478.1,23479.6,0,0,NIFTY 50
20250401,10:05,23479.1,23485.75,23477,23479.1,0,0,NIFTY 50
20250401,10:06,23479.95,23496.7,23478.15,23490.1,0,0,NIFTY 50
20250401,10:07,23488,23488.9,23458.15,23459.3,0,0,NIFTY 50
20250401,10:08,23458.8,23475.4,23458.8,23473.25,0,0,NIFTY 50
20250401,10:09,23470.9,23471.4,23460,23462.65,0,0,NIFTY 50
20250401,10:10,23462.75,23468.55,23457.6,23465.6,0,0,NIFTY 50
20250401,10:11,23464.65,23466.55,23462.05,23464.25,0,0,NIFTY 50
20250401,10:12,23464.45,23475.7,23464.25,23467.95,0,0,NIFTY 50
20250401,10:13,23467.05,23467.05,23448.2,23456.3,0,0,NIFTY 50
20250401,10:14,23455.9,23460.2,23453.8,23456.1,0,0,NIFTY 50
20250401,10:15,23455.6,23463.15,23450.7,23462.6,0,0,NIFTY 50
20250401,10:16,23461.25,23471.4,23458.65,23471.05,0,0,NIFTY 50
20250401,10:17,23470.45,23476.55,23468.9,23472.75,0,0,NIFTY 50
20250401,10:18,23472.2,23478.8,23471.15,23478.2,0,0,NIFTY 50
20250401,10:19,23477.95,23481.7,23476.7,23480.15,0,0,NIFTY 50
20250401,10:20,23480.4,23483.7,23475.45,23476.55,0,0,NIFTY 50
